Nama_Animal,Cara Berkembangbiak,Makanan,Habitat,Berbahaya,115
Antelope,Melahirkan,"Rumput, Daun, dan Tunas Tumbuhan","Padang rumput, sabana, atau hutan terbuka",Yes,
Badger,Melahirkan,Hewan omnivora,"Hutan, padang rumput, daerah pedesaan Eropa dan sebagian Asia",No,
Bat,Melahirkan,Serangga,"Gua, hutan, hutan bakau, padang rumput dan perkotaan.",No,
Bear,Melahirkan,Pemakan segala,"Hutan di Emerka Utara, Eropa, dan Asia dan juga pegunungan didaerah Kutup.",Yes,
Bee,Bertelur,Nektar dan serbuk sari bunga,"Sarang-sarang besar, sarang didalam tanah, dindinh bahkan lubang pohon.",Yes,
Beetle,Bertelur,"Tumbuhan, Detritus, Serangga ","Hutan, padang rumput, pegunugan, gurun, sungai, danau.",No,
Bison,Melahirkan,Herbivora (rumput dan vegetasi),Amerika Serikat,Yes,
Boar,Melahirkan,Pemakan segala,"Hutan-hutan, semak belukar, daerah bersemak, dan padang rumput.",Yes,
Butterfly,Bertelur,Nektar bunga,"Hutan, padang rumput, taman, tumbuhan berbunga, daerah berkebun.",No,
Cat,Melahirkan,Daging,"Pemukiman manusia, dikota-kota, desa-desa, dan daerah pedesaan.",No,
Caterpillar,Bertelur,Dedaunan,"Hutan, padang rumput, taman, perkotaan.",No,
Chimpanzee,Melahirkan,Pemakan segala,Hutan,Yes,
Cockroach,Bertelur,Pemakan segala,"Ditempat lembab, sempit dan area yang gelap",Yes,
Cow,Melahirkan,Tumbuhan,Pedesaan dan peternakan,No,
Coyote,Melahirkan,Pemakan segala namun cenderung memakan daging.,"Padang rumput, gurun, hutan, pegunungan,perkotaan.",No,
Crab,Bertelur,Pemakan segala,"Perairan, pantai berbatu, estuari, hutan mangrove, dan terumbu karang, sungai, danau, rawa-rawa.",No,
Crow,Bertelur,"Biji-biajian, Buah-buahan, Seranggga,Cacing, Bangkai","Hutan, Taman kota, Lahan pertanian, padang rumput, Perkotaan.",No,
Deer,Melahirkan,Tumbuhan,"HUtan, padang rumput, pegunungan, dataran rendah.",No,
Dog,Melahirkan,Pemakan segala,"Perkotaan, perdesaat, linkungan terbuka dan biasanya dirumah-rumah menjadi hewan peliharaan. ",Yes,
Dolphin,Melahirkan,Ikan dan hewan kecil,"lautan, laut dangkal, esturi, dan sungai",No,
Donkey,Melahirkan,Tumbuhan,"Peternakan, pertanian, pedesaan.",No,
Dragonfly,Bertelur,Serangga kecil,air tawar,No,
Duck,Bertelur,Pemakan segala (omnivora),"Danau, sungai, rawa-rawa, dan kolam",No,
Eagle,Melahirkan,"Hewan lain seperti burung, ikan, dan juga reptil.","Pegunungan, hutan, padang rumput, pesisir.",No,
Elephant,Melahirkan,Tumbuhan,"Hutan tropis, sabana, padang rumput, dan gurun.",No,
Flamingo,Bertelur,Plankton dan organisme kecil lainnya,"Danau, laguna, rawa, atau esturi.",No,
Fly,Bertelur,"Nektar, air, sari buah yang busuk","Tempat sampah, kotora ternak, dan sumber makanan lain yang mudah dijangkau.",No,
Fox,Melahirkan,"Hewan kecil seperti tikus, kelinci, burung, dan serangga","Hutan, padang rumput, gurun, daerah perkotaan",No,
Goat,Melahirkan,"Rumput, dedaunan, dan cabang-cabang pohon.","Pengunungan, padang rumput, gurun.",No,
Goldfish,Bertelur,"Pelet ikan, dan serbuk makanan ikan.","Air tawar(Aquarium, kolam dan danau.)",No,
Goose,Bertelur,"Tumbuhan seperti rumput, dedaunan, biji-bijian, dan tanaman air","Danau, rawa, sungai, pesisir pantai.",No,
Gorilla,Melahirkan,Tumbuhan,"Hutan-hutan tropis dan subtopis di Afrika (Hutan hujan, hutan bambu, hutan rawa-rawa)",No,
Grasshopper,Bertelur,Tumbuhan terutama dedaunan,"Padang rumput, hutan, dan lahan pertanian",No,
Hamster,Melahirkan,Biji-bijian dan sayuran segar,Padang rumput dan gurun di Asia dan Eropa,No,
Hare,Melahirkan,Tumbuhan,"Padang rumput, hutan terbuka, dan lahan pertanian",No,
Hedgedog,Melahirkan,"Serangga, cacing dan hewan kecil lainnya","Hutan, semak belukar, taman, dan daerah pedesaan",No,
Hippopotamus,Melahirkan,Tumbuhan air ,"Sungai, danau, rawa, dan kolam air tawar di Afrika",Yes,
Hornbill,Bertelur,"Buah-buahan, biji-bijian, serangga, dan hewan kecil.","Hutan hujan tropis, hutan dataran rendah, daerah terbuka",No,
Horse,Melahirkan,Rumput dan tumbuhan serupa,"Padang rumput alami, peternakan",No,
Hummingbird,Bertelur,Nektar bungan dan serangga kecil,"Hutan, pegununganm padang rumput, taman, dan kebun",No,
Hyena,Melahirkan,"Omnivora (Daging, serangga, tumbuhan, dan bangkai)","Savana, hutan, daerah bersemak",Yes,
Jellyfish,,Plankton dan makanan kecil lainnya diperairan laut,Perairan air asin,Yes,
Kangaroo,Melahirkan,Tumbuhan terutama rumput dan daun,Padang rumput daerah terbuka di australia.,No,
Koala,Melahirkan,Daun eucalyptus,Hutan eucalyptus di Australia,Yes,
Ladybugs,Bertelur,Serangga kecil seperti kutu daun dan hama lainnya,"Kebun, padang rumput, hewan, hutan, dan taman",No,
